Kelime;Türkçe Anlamı;V1 (Yalın Hali);V2 (Geçmiş Zaman);V3 (Sıfat Fiil)
easy;kolay;-;-;-
eat;yemek yemek;eat;ate;eaten
economic;ekonomik;-;-;-
economy;ekonomi;-;-;-
edge;kenar;-;-;-
edit;düzenlemek (metin);edit;edited;edited
edition;baskı, sürüm;-;-;-
editor;editör;-;-;-
educate;eğitmek;educate;educated;educated
educated;eğitimli;-;-;-
education;eğitim;-;-;-
educational;eğitici;-;-;-
effect;etki;-;-;-
effective;etkili;-;-;-
effectively;etkili bir şekilde;-;-;-
efficient;verimli;-;-;-
effort;çaba;-;-;-
egg;yumurta;-;-;-
eight;sekiz;-;-;-
eighteen;on sekiz;-;-;-
eighty;seksen;-;-;-
either;ikisinden biri;-;-;-
elderly;yaşlı;-;-;-
elect;seçmek (oylama);elect;elected;elected
election;seçim;-;-;-
electric;elektrikli;-;-;-
electrical;elektrikli;-;-;-
electricity;elektrik;-;-;-
electronic;elektronik;-;-;-
element;unsur, öğe;-;-;-
elephant;fil;-;-;-
eleven;on bir;-;-;-
else;başka;-;-;-
elsewhere;başka bir yerde;-;-;-
email;e-posta;email;emailed;emailed
embarrassed;utanmış;-;-;-
embarrassing;utandırıcı;-;-;-
emerge;ortaya çıkmak;emerge;emerged;emerged
emergency;acil durum;-;-;-
emotion;duygu;-;-;-
emotional;duygusal;-;-;-
emphasis;vurgu;-;-;-
emphasize;vurgulamak;emphasize;emphasized;emphasized
employ;istihdam etmek;employ;employed;employed
employee;çalışan;-;-;-
employer;işveren;-;-;-
employment;istihdam;-;-;-
empty;boş, boşaltmak;empty;emptied;emptied
enable;olanak sağlamak;enable;enabled;enabled
encounter;karşılaşmak;encounter;encountered;encountered
encourage;teşvik etmek;encourage;encouraged;encouraged
end;son, bitirmek;end;ended;ended
ending;son (bölüm);-;-;-
enemy;düşman;-;-;-
energy;enerji;-;-;-
engage;meşgul etmek, katılmak;engage;engaged;engaged
engaged;nişanlı, meşgul;-;-;-
engine;motor;-;-;-
engineer;mühendis;-;-;-
engineering;mühendislik;-;-;-
enhance;geliştirmek, iyileştirmek;enhance;enhanced;enhanced
enjoy;zevk almak;enjoy;enjoyed;enjoyed
enormous;çok büyük;-;-;-
enough;yeterli;-;-;-
enquiry;soruşturma, sorgu;-;-;-
ensure;sağlamak, garanti etmek;ensure;ensured;ensured
enter;girmek;enter;entered;entered
entertain;eğlendirmek;entertain;entertained;entertained
entertainment;eğlence;-;-;-
enthusiasm;coşku;-;-;-
enthusiastic;hevesli;-;-;-
entire;bütün, tüm;-;-;-
entirely;tamamen;-;-;-
entrance;giriş;-;-;-
entry;giriş, kayıt;-;-;-
environment;çevre;-;-;-
environmental;çevresel;-;-;-
episode;bölüm (dizi);-;-;-
equal;eşit;equal;equalled;equalled
equally;eşit şekilde;-;-;-
equipment;ekipman;-;-;-
error;hata;-;-;-
escape;kaçmak;escape;escaped;escaped
especially;özellikle;-;-;-
essay;deneme, kompozisyon;-;-;-
essential;gerekli, temel;-;-;-
establish;kurmak;establish;established;established
estate;mülk, emlak;-;-;-
estimate;tahmin etmek;estimate;estimated;estimated
ethical;etik;-;-;-
euro;avro;-;-;-
evaluate;değerlendirmek;evaluate;evaluated;evaluated
even;hatta, düz;-;-;-
evening;akşam;-;-;-
event;olay;-;-;-
eventually;sonunda;-;-;-
ever;hiç;-;-;-
every;her;-;-;-
everybody;herkes;-;-;-
everyday;günlük;-;-;-
everyone;herkes;-;-;-
everything;her şey;-;-;-
everywhere;her yerde;-;-;-
evidence;kanıt;-;-;-
evil;kötü;-;-;-
exact;tam, kesin;-;-;-
exactly;tam olarak;-;-;-
exam;sınav;-;-;-
examination;inceleme, sınav;-;-;-
examine;incelemek;examine;examined;examined
example;örnek;-;-;-
excellent;mükemmel;-;-;-
except;hariç;-;-;-
exchange;değişim, değiştirmek;exchange;exchanged;exchanged
excited;heyecanlı;-;-;-
excitement;heyecan;-;-;-
exciting;heyecan verici;-;-;-
excuse;bahane, mazur görmek;excuse;excused;excused
executive;yönetici;-;-;-
exercise;egzersiz, egzersiz yapmak;exercise;exercised;exercised
exhibition;sergi;-;-;-
exist;var olmak;exist;existed;existed
existence;varlık;-;-;-
expand;genişlemek;expand;expanded;expanded
expect;beklemek;expect;expected;expected
expectation;beklenti;-;-;-
expected;beklenen;-;-;-
expedition;sefer, keşif gezisi;-;-;-
expense;masraf;-;-;-
expensive;pahalı;-;-;-
experience;deneyim;experience;experienced;experienced
experienced;deneyimli;-;-;-
experiment;deney;experiment;experimented;experimented
expert;uzman;-;-;-
explain;açıklamak;explain;explained;explained
explanation;açıklama;-;-;-
explode;patlamak;explode;exploded;exploded
exploration;keşif;-;-;-
explore;keşfetmek;explore;explored;explored
explosion;patlama;-;-;-
export;ihracat, ihraç etmek;export;exported;exported
expose;maruz bırakmak;expose;exposed;exposed
express;ifade etmek;express;expressed;expressed
expression;ifade;-;-;-
extend;uzatmak, genişletmek;extend;extended;extended
extent;derece, kapsam;-;-;-
external;dış;-;-;-
extra;ekstra, fazladan;-;-;-
extraordinary;olağanüstü;-;-;-
extreme;aşırı;-;-;-
extremely;son derece;-;-;-
eye;göz;-;-;-
face;yüz, karşılaşmak;face;faced;faced
facility;tesis, imkan;-;-;-
fact;gerçek;-;-;-
factor;faktör;-;-;-
factory;fabrika;-;-;-
fail;başarısız olmak;fail;failed;failed
failure;başarısızlık;-;-;-
fair;adil;-;-;-
fairly;oldukça, adil bir şekilde;-;-;-
faith;inanç;-;-;-
fall;düşmek;fall;fell;fallen
false;yanlış, sahte;-;-;-
familiar;tanıdık, aşina;-;-;-
family;aile;-;-;-
famous;ünlü;-;-;-
fan;hayran, yelpaze;-;-;-
fancy;hayal etmek, süslü;fancy;fancied;fancied
fantastic;harika;-;-;-
far;uzak;-;-;-
farm;çiftlik, çiftçilik yapmak;farm;farmed;farmed
farmer;çiftçi;-;-;-
farming;çiftçilik;-;-;-
fascinating;büyüleyici;-;-;-
fashion;moda;-;-;-
fashionable;moda olan;-;-;-
fast;hızlı;-;-;-
fasten;bağlamak, sıkıştırmak;fasten;fastened;fastened
fat;yağ, şişman;-;-;-
father;baba;-;-;-
fault;kusur, hata;-;-;-
favour;iyilik;favour;favoured;favoured
favourite;favori;-;-;-
fear;korku, korkmak;fear;feared;feared
feather;tüy;-;-;-
feature;özellik;feature;featured;featured
February;Şubat;-;-;-
fee;ücret;-;-;-
feed;beslemek;feed;fed;fed
feedback;geri bildirim;-;-;-
feel;hissetmek;feel;felt;felt
feeling;his, duygu;-;-;-
fellow;arkadaş, meslektaş;-;-;-
female;dişi, kadın;-;-;-
fence;çit;-;-;-
festival;festival;-;-;-
few;az sayıda;-;-;-
fiction;kurgu;-;-;-
field;tarla, alan;-;-;-
fifteen;on beş;-;-;-
fifth;beşinci;-;-;-
fifty;elli;-;-;-
fight;kavga etmek, savaşmak;fight;fought;fought
fighting;kavga, dövüş;-;-;-
figure;rakam, şekil;figure;figured;figured
file;dosya;file;filed;filed
fill;doldurmak;fill;filled;filled
film;film, filme çekmek;film;filmed;filmed
final;son, final;-;-;-
finally;sonunda;-;-;-
finance;finans;finance;financed;financed
financial;finansal;-;-;-
find;bulmak;find;found;found
finding;bulgu;-;-;-
fine;iyi, ince;-;-;-
finger;parmak;-;-;-
finish;bitirmek;finish;finished;finished
fire;ateş, kovmak;fire;fired;fired
firm;firma, sağlam;-;-;-
first;ilk;-;-;-
firstly;ilk olarak;-;-;-
fish;balık, balık tutmak;fish;fished;fished
fishing;balıkçılık;-;-;-
fit;uygun olmak, formda;fit;fitted/fit;fitted/fit
fitness;fitness, form;-;-;-
five;beş;-;-;-
fix;onarmak, sabitlemek;fix;fixed;fixed
fixed;sabit;-;-;-
flag;bayrak;-;-;-
flame;alev;-;-;-
flash;flaş, parlamak;flash;flashed;flashed
flat;daire, düz;-;-;-
flexible;esnek;-;-;-
flight;uçuş;-;-;-
float;yüzmek (suda), süzülmek;float;floated;floated
flood;sel, su basmak;flood;flooded;flooded
floor;kat, zemin;-;-;-
flour;un;-;-;-
flow;akmak;flow;flowed;flowed
flower;çiçek;-;-;-
flu;grip;-;-;-
fly;uçmak;fly;flew;flown
flying;uçma;-;-;-
focus;odaklanmak;focus;focused;focused
fold;katlamak;fold;folded;folded
folding;katlanabilir;-;-;-
folk;halk;-;-;-
follow;takip etmek;follow;followed;followed
following;takip eden, sonraki;-;-;-
food;yiyecek;-;-;-
foot;ayak;-;-;-
football;futbol;-;-;-
for;için;-;-;-
force;güç, zorlamak;force;forced;forced
foreign;yabancı;-;-;-
forest;orman;-;-;-
forever;sonsuza dek;-;-;-
forget;unutmak;forget;forgot;forgotten
forgive;affetmek;forgive;forgave;forgiven
fork;çatal;-;-;-
form;form, şekillendirmek;form;formed;formed
formal;resmi;-;-;-
former;eski, önceki;-;-;-
fortunately;neyse ki;-;-;-
fortune;servet, şans;-;-;-
forty;kırk;-;-;-
forward;ileri;-;-;-
found;kurmak;found;founded;founded
four;dört;-;-;-
fourteen;on dört;-;-;-
fourth;dördüncü;-;-;-
frame;çerçeve;frame;framed;framed
free;özgür, ücretsiz;free;freed;freed
freedom;özgürlük;-;-;-
freeze;donmak;freeze;froze;frozen
frequency;sıklık;-;-;-
frequently;sık sık;-;-;-
fresh;taze;-;-;-
Friday;Cuma;-;-;-
fridge;buzdolabı;-;-;-
friend;arkadaş;-;-;-
friendly;arkadaşça;-;-;-
friendship;arkadaşlık;-;-;-
frighten;korkutmak;frighten;frightened;frightened
frightened;korkmuş;-;-;-
frightening;korkutucu;-;-;-
frog;kurbağa;-;-;-
from;-den;-;-;-
front;ön;-;-;-
frozen;donmuş;-;-;-
fruit;meyve;-;-;-
fry;kızartmak;fry;fried;fried
fuel;yakıt;fuel;fuelled;fuelled
full;dolu;-;-;-
fully;tamamen;-;-;-
fun;eğlence;-;-;-
function;işlev, çalışmak;function;functioned;functioned
fund;fon, fonlamak;fund;funded;funded
fundamental;temel;-;-;-
funding;finansman;-;-;-
funny;komik;-;-;-
fur;kürk;-;-;-
furniture;mobilya;-;-;-
further;daha ileri;-;-;-
furthermore;ayrıca;-;-;-
future;gelecek;-;-;-
gain;kazanmak, kazanç;gain;gained;gained
gallery;galeri;-;-;-
game;oyun;-;-;-
gang;çete;-;-;-
gap;boşluk, aralık;-;-;-
garage;garaj;-;-;-
garden;bahçe;-;-;-
gas;gaz;-;-;-
gate;kapı, giriş;-;-;-
gather;toplamak, bir araya gelmek;gather;gathered;gathered
general;genel;-;-;-
generally;genellikle;-;-;-
generate;üretmek, yaratmak;generate;generated;generated
generation;nesil;-;-;-
generous;cömert;-;-;-
genre;tür (edebi/sanatsal);-;-;-
gentle;nazik, yumuşak;-;-;-
gentleman;beyefendi;-;-;-
geography;coğrafya;-;-;-
get;almak, elde etmek;get;got;got/gotten
ghost;hayalet;-;-;-
giant;dev;-;-;-
gift;hediye;-;-;-
girl;kız çocuk;-;-;-
girlfriend;kız arkadaş;-;-;-
give;vermek;give;gave;given
glad;memnun;-;-;-
glass;cam, bardak;-;-;-
global;küresel;-;-;-
glove;eldiven;-;-;-
go;gitmek;go;went;gone
goal;hedef, gol;-;-;-
god;tanrı;-;-;-
gold;altın;-;-;-
golf;golf;-;-;-
good;iyi;-;-;-
goodbye;hoşça kal;-;-;-
goods;mallar;-;-;-
govern;yönetmek (devlet);govern;governed;governed
government;hükümet;-;-;-
grab;kapmak;grab;grabbed;grabbed
grade;not, sınıf;grade;graded;graded
gradually;yavaş yavaş;-;-;-
graduate;mezun olmak;graduate;graduated;graduated
grain;tahıl;-;-;-
grand;görkemli;-;-;-
grandfather;dede;-;-;-
grandmother;büyükanne;-;-;-
grandparent;büyük ebeveyn;-;-;-
grant;hibe, vermek;grant;granted;granted
grass;çim;-;-;-
grateful;minnettar;-;-;-
great;harika, büyük;-;-;-
green;yeşil;-;-;-
greet;selamlamak;greet;greeted;greeted
grey;gri;-;-;-
ground;zemin, yer;-;-;-
group;grup;-;-;-
grow;büyümek;grow;grew;grown
growth;büyüme;-;-;-
guarantee;garanti, garanti etmek;guarantee;guaranteed;guaranteed
guard;muhafız, korumak;guard;guarded;guarded
guess;tahmin etmek;guess;guessed;guessed
guest;misafir;-;-;-
guide;rehber, rehberlik etmek;guide;guided;guided
guilty;suçlu;-;-;-
guitar;gitar;-;-;-
gun;silah, tabanca;-;-;-
guy;adam, herif;-;-;-
gym;spor salonu;-;-;-
habit;alışkanlık;-;-;-
hair;saç;-;-;-
half;yarım, yarı;-;-;-
hall;salon, koridor;-;-;-
hand;el, uzatmak;hand;handed;handed
handle;kulp, ele almak;handle;handled;handled
hang;asmak;hang;hung;hung
happen;olmak, gerçekleşmek;happen;happened;happened
happily;mutlu bir şekilde;-;-;-
happiness;mutluluk;-;-;-
happy;mutlu;-;-;-
hard;zor, sert;-;-;-
hardly;neredeyse hiç;-;-;-
harm;zarar, zarar vermek;harm;harmed;harmed
harmful;zararlı;-;-;-
hat;şapka;-;-;-
hate;nefret etmek;hate;hated;hated
have;sahip olmak;have;had;had
have to;zorunda olmak;-;-;-
he;o (erkek);-;-;-
head;baş, yönetmek;head;headed;headed
headache;baş ağrısı;-;-;-
headline;manşet;-;-;-
health;sağlık;-;-;-
healthy;sağlıklı;-;-;-
hear;duymak;hear;heard;heard
hearing;duyma, işitme;-;-;-
heart;kalp;-;-;-
heat;ısı, ısıtmak;heat;heated;heated
heating;ısıtma;-;-;-
heaven;cennet;-;-;-
heavily;ağır bir şekilde;-;-;-
heavy;ağır;-;-;-
heel;topuk;-;-;-
height;boy, yükseklik;-;-;-
helicopter;helikopter;-;-;-
hell;cehennem;-;-;-
hello;merhaba;-;-;-
help;yardım etmek;help;helped;helped
helpful;yardımcı;-;-;-
her;onun (kadın);-;-;-
here;burada;-;-;-
hero;kahraman;-;-;-
hers;onunki (kadın);-;-;-
herself;kendisi (kadın);-;-;-
hesitate;tereddüt etmek;hesitate;hesitated;hesitated
hey;hey;-;-;-
hi;selam;-;-;-
hide;saklamak;hide;hid;hidden
high;yüksek;-;-;-
highlight;vurgulamak, önemli nokta;highlight;highlighted;highlighted
highly;oldukça, son derece;-;-;-
hill;tepe;-;-;-
him;onu (erkek);-;-;-
himself;kendisi (erkek);-;-;-
hire;kiralamak, işe almak;hire;hired;hired
his;onun (erkek);-;-;-
historic;tarihi (önemli);-;-;-
historical;tarihsel;-;-;-
history;tarih;-;-;-
hit;vurmak;hit;hit;hit
hobby;hobi;-;-;-
hockey;hokey;-;-;-
hold;tutmak;hold;held;held
hole;delik;-;-;-
holiday;tatil;-;-;-
hollow;içi boş;-;-;-
holy;kutsal;-;-;-
home;ev;-;-;-
homework;ev ödevi;-;-;-
honest;dürüst;-;-;-
honour;onur, onurlandırmak;honour;honoured;honoured
hope;umut etmek;hope;hoped;hoped
horrible;korkunç;-;-;-
horror;dehşet, korku;-;-;-
horse;at;-;-;-
hospital;hastane;-;-;-
host;ev sahibi, sunmak;host;hosted;hosted
hot;sıcak;-;-;-
hotel;otel;-;-;-
hour;saat (süre);-;-;-
house;ev, barındırmak;house;housed;housed
household;hane, ev halkı;-;-;-
housing;konut;-;-;-
how;nasıl;-;-;-
however;ancak;-;-;-
huge;çok büyük;-;-;-
human;insan;-;-;-
humorous;esprili;-;-;-
humour;mizah;-;-;-
hundred;yüz (sayı);-;-;-
hungry;aç;-;-;-
hunt;avlamak;hunt;hunted;hunted
hunting;avcılık;-;-;-
hurricane;kasırga;-;-;-
hurry;acele etmek;hurry;hurried;hurried
hurt;incitmek, acı vermek;hurt;hurt;hurt
husband;koca;-;-;-
I;ben;-;-;-
ice;buz;-;-;-
ice cream;dondurma;-;-;-
idea;fikir;-;-;-
ideal;ideal;-;-;-
identify;tanımlamak, kimliğini belirlemek;identify;identified;identified
identity;kimlik;-;-;-
if;eğer;-;-;-
ignore;görmezden gelmek;ignore;ignored;ignored
ill;hasta;-;-;-
illegal;yasadışı;-;-;-
illness;hastalık;-;-;-
illustrate;göstermek, resimlemek;illustrate;illustrated;illustrated
illustration;çizim, resim;-;-;-
image;imaj, görüntü;-;-;-
imaginary;hayali;-;-;-
imagination;hayal gücü;-;-;-
imagine;hayal etmek;imagine;imagined;imagined
immediate;acil, ani;-;-;-
immediately;hemen;-;-;-
immigrant;göçmen;-;-;-
impact;etki;impact;impacted;impacted
impatient;sabırsız;-;-;-
imply;ima etmek;imply;implied;implied
import;ithal etmek, ithalat;import;imported;imported
importance;önem;-;-;-
important;önemli;-;-;-
impose;dayatmak;impose;imposed;imposed
impossible;imkansız;-;-;-
impress;etkilemek;impress;impressed;impressed
impressed;etkilenmiş;-;-;-
impression;izlenim;-;-;-
impressive;etkileyici;-;-;-
improve;geliştirmek, iyileştirmek;improve;improved;improved
improvement;iyileşme;-;-;-
in;içinde;-;-;-
inch;inç;-;-;-
incident;olay;-;-;-
include;içermek, dahil etmek;include;included;included
included;dahil;-;-;-
including;dahil olmak üzere;-;-;-
income;gelir;-;-;-
increase;artmak, artırmak;increase;increased;increased
increasingly;giderek artan şekilde;-;-;-
incredible;inanılmaz;-;-;-
incredibly;inanılmaz derecede;-;-;-
indeed;gerçekten;-;-;-
independent;bağımsız;-;-;-
indicate;belirtmek, göstermek;indicate;indicated;indicated
indirect;dolaylı;-;-;-
individual;birey, bireysel;-;-;-
indoor;kapalı mekan;-;-;-
indoors;iç mekanda;-;-;-
industrial;endüstriyel;-;-;-
industry;endüstri;-;-;-
infection;enfeksiyon;-;-;-
influence;etki, etkilemek;influence;influenced;influenced
inform;bilgilendirmek;inform;informed;informed
informal;resmi olmayan;-;-;-
information;bilgi;-;-;-
ingredient;malzeme (yemek);-;-;-
initial;ilk, başlangıç;-;-;-
initially;başlangıçta;-;-;-
initiative;girişim;-;-;-
injure;yaralamak;injure;injured;injured
injured;yaralı;-;-;-
injury;yaralanma;-;-;-
inner;iç;-;-;-
innocent;masum;-;-;-
insect;böcek;-;-;-
inside;içeride;-;-;-
insight;iç görü;-;-;-
insist;ısrar etmek;insist;insisted;insisted
inspire;ilham vermek;inspire;inspired;inspired
install;kurmak (yazılım/cihaz);install;installed;installed
instance;örnek;-;-;-
instead;bunun yerine;-;-;-
institute;enstitü;-;-;-
institution;kurum;-;-;-
instruction;talimat;-;-;-
instructor;eğitmen;-;-;-
instrument;enstrüman, alet;-;-;-
insurance;sigorta;-;-;-
intelligence;zeka;-;-;-
intelligent;zeki;-;-;-
intend;niyetlenmek;intend;intended;intended
intended;amaçlanan;-;-;-
intense;yoğun;-;-;-
intention;niyet;-;-;-
interest;ilgi, faiz;interest;interested;interested
interested;ilgilenen;-;-;-
interesting;ilginç;-;-;-
internal;iç, dahili;-;-;-
international;uluslararası;-;-;-
internet;internet;-;-;-
interpret;yorumlamak;interpret;interpreted;interpreted
interrupt;kesmek (sözünü);interrupt;interrupted;interrupted
interview;görüşme, röportaj yapmak;interview;interviewed;interviewed
into;içine;-;-;-
introduce;tanıtmak;introduce;introduced;introduced
introduction;giriş, tanıtım;-;-;-
invent;icat etmek;invent;invented;invented
invention;icat;-;-;-
invest;yatırım yapmak;invest;invested;invested
investigate;araştırmak, soruşturmak;investigate;investigated;investigated
investigation;soruşturma;-;-;-
investment;yatırım;-;-;-
invitation;davet;-;-;-
invite;davet etmek;invite;invited;invited
involve;içermek, dahil etmek;involve;involved;involved
involved;dahil olmuş;-;-;-
iron;ütü, demir;iron;ironed;ironed
island;ada;-;-;-
issue;konu, sorun;issue;issued;issued
IT;bilgi teknolojisi;-;-;-
it;o (nesne);-;-;-
item;madde, ürün;-;-;-
its;onun (nesne);-;-;-
itself;kendisi (nesne);-;-;-
jacket;ceket;-;-;-
jam;reçel;-;-;-
January;Ocak;-;-;-
jazz;caz;-;-;-
jeans;kot pantolon;-;-;-
jewellery;mücevher;-;-;-
job;iş;-;-;-
join;katılmak;join;joined;joined
joke;şaka, şaka yapmak;joke;joked;joked
journal;dergi, günlük;-;-;-
journalist;gazeteci;-;-;-
journey;yolculuk;-;-;-
joy;neşe;-;-;-
judge;hakim, yargılamak;judge;judged;judged
judgement;yargı, karar;-;-;-
juice;meyve suyu;-;-;-
July;Temmuz;-;-;-
jump;atlamak;jump;jumped;jumped
June;Haziran;-;-;-
junior;genç, alt kademeli;-;-;-
just;sadece, tam;-;-;-
justice;adalet;-;-;-
justify;haklı çıkarmak;justify;justified;justified
keen;hevesli;-;-;-
keep;tutmak, saklamak;keep;kept;kept
key;anahtar;key;keyed;keyed
keyboard;klavye;-;-;-
kick;tekmelemek;kick;kicked;kicked
kid;çocuk;-;-;-
kill;öldürmek;kill;killed;killed
killing;öldürme;-;-;-
kilometre;kilometre;-;-;-
kind (type);tür, çeşit;-;-;-
kind (caring);nazik;-;-;-
king;kral;-;-;-
kiss;öpmek, öpücük;kiss;kissed;kissed
kitchen;mutfak;-;-;-
knee;diz;-;-;-
knife;bıçak;-;-;-
knock;kapıyı çalmak, vurmak;knock;knocked;knocked
know;bilmek;know;knew;known
knowledge;bilgi;-;-;-
lab;laboratuvar;-;-;-
label;etiket, etiketlemek;label;labelled;labelled
laboratory;laboratuvar;-;-;-
labour;emek, işçilik;-;-;-
lack;eksiklik, yoksun olmak;lack;lacked;lacked
lady;hanımefendi;-;-;-
lake;göl;-;-;-
lamp;lamba;-;-;-
land;kara, arazi, konmak;land;landed;landed
landscape;manzara;-;-;-
language;dil;-;-;-
laptop;dizüstü bilgisayar;-;-;-
large;büyük;-;-;-
largely;büyük ölçüde;-;-;-
last1 (final);son;-;-;-
last1 (taking time);sürmek (zaman);last;lasted;lasted
late;geç;-;-;-
later;daha sonra;-;-;-
latest;en son;-;-;-
laugh;gülmek;laugh;laughed;laughed
laughter;gülme, kahkaha;-;-;-
launch;başlatmak, piyasaya sürmek;launch;launched;launched
law;kanun;-;-;-
lawyer;avukat;-;-;-
lay;koymak, yatırmak;lay;laid;laid
layer;katman;-;-;-
lazy;tembel;-;-;-
lead1;yönetmek, önderlik etmek;lead;led;led
leader;lider;-;-;-
leadership;liderlik;-;-;-
leading;önde gelen;-;-;-
leaf;yaprak;-;-;-
league;lig;-;-;-
lean;yaslanmak, zayıf;lean;leaned/leant;leaned/leant
learn;öğrenmek;learn;learned/learnt;learned/learnt
learning;öğrenme;-;-;-
least;en az;-;-;-
leather;deri;-;-;-
leave;ayrılmak, bırakmak;leave;left;left
lecture;ders, konferans;lecture;lectured;lectured
left;sol;-;-;-
leg;bacak;-;-;-
legal;yasal;-;-;-
leisure;boş zaman;-;-;-
lemon;limon;-;-;-
lend;ödünç vermek;lend;lent;lent
length;uzunluk;-;-;-
less;daha az;-;-;-
lesson;ders;-;-;-
let;izin vermek, bırakmak;let;let;let
letter;mektup, harf;-;-;-
level;seviye;level;levelled;levelled
library;kütüphane;-;-;-
licence;lisans, ruhsat;-;-;-
lie1;yatmak, uzanmak;lie;lay;lain
lie2;yalan söylemek;lie;lied;lied
life;hayat;-;-;-
lifestyle;yaşam tarzı;-;-;-
lift;kaldırmak, asansör;lift;lifted;lifted
light (sun/lamp);ışık, aydınlatmak;light;lit/lighted;lit/lighted
light (not heavy);hafif;-;-;-
like (similar);gibi;-;-;-
like (find pleasant);hoşlanmak, sevmek;like;liked;liked
likely;muhtemel;-;-;-
limit;sınır, sınırlamak;limit;limited;limited
limited;sınırlı;-;-;-
line;çizgi, sıra;line;lined;lined
link;bağlantı, bağlamak;link;linked;linked
lion;aslan;-;-;-
lip;dudak;-;-;-
liquid;sıvı;-;-;-
list;liste, listelemek;list;listed;listed
listen;dinlemek;listen;listened;listened
listener;dinleyici;-;-;-
literature;edebiyat;-;-;-
little;küçük, az;-;-;-
live1;yaşamak;live;lived;lived
live2;canlı yayında;-;-;-
lively;canlı, hareketli;-;-;-
living;yaşayan, geçim;-;-;-
load;yük, yüklemek;load;loaded;loaded
loan;kredi, borç;loan;loaned;loaned
local;yerel;-;-;-
locate;bulmak, konumlandırmak;locate;located;located
located;konumlanmış;-;-;-
location;konum;-;-;-
lock;kilit, kilitlemek;lock;locked;locked
logical;mantıklı;-;-;-
lonely;yalnız;-;-;-
long1;uzun;-;-;-
long-term;uzun vadeli;-;-;-
look;bakmak, görünmek;look;looked;looked
loose;gevşek;-;-;-
lord;lord, efendi;-;-;-
lorry;kamyon;-;-;-
lose;kaybetmek;lose;lost;lost
loss;kayıp;-;-;-
lost;kaybolmuş;-;-;-
lot;çok (miktar);-;-;-
loud;yüksek sesli;-;-;-
loudly;yüksek sesle;-;-;-
love;aşk, sevmek;love;loved;loved
lovely;güzel, hoş;-;-;-
low;düşük, alçak;-;-;-
lower;indirmek, alçaltmak;lower;lowered;lowered
luck;şans;-;-;-
lucky;şanslı;-;-;-
lunch;öğle yemeği;-;-;-
lung;akciğer;-;-;-
luxury;lüks;-;-;-
machine;makine;-;-;-
mad;çılgın, deli;-;-;-
magazine;dergi;-;-;-
magic;sihir;-;-;-
mail;posta, postalamak;mail;mailed;mailed
main;ana, başlıca;-;-;-
mainly;çoğunlukla;-;-;-
maintain;sürdürmek, bakımını yapmak;maintain;maintained;maintained
major;büyük, önemli;-;-;-
majority;çoğunluk;-;-;-
make;yapmak;make;made;made
male;erkek;-;-;-
mall;alışveriş merkezi;-;-;-
man;adam;-;-;-
manage;yönetmek, başarmak;manage;managed;managed
management;yönetim;-;-;-
manager;müdür, yönetici;-;-;-
manner;tavır, biçim;-;-;-
many;çok (sayılabilir);-;-;-
map;harita;map;mapped;mapped
March;Mart;-;-;-
mark;işaret, işaretlemek;mark;marked;marked
market;pazar, piyasa;market;marketed;marketed
marketing;pazarlama;-;-;-
marriage;evlilik;-;-;-
married;evli;-;-;-
marry;evlenmek;marry;married;married
mass;kütle, kitle;-;-;-
massive;çok büyük;-;-;-
master;usta, ustalaşmak;master;mastered;mastered
match;maç, eşleşmek;match;matched;matched
matching;uyumlu, eşleşen;-;-;-
material;malzeme;-;-;-
mathematics;matematik;-;-;-
maths;matematik;-;-;-
matter;mesele, önemli olmak;matter;mattered;mattered
maximum;maksimum;-;-;-
May;Mayıs;-;-;-
may;-ebilir (izin/olasılık);-;-;-
maybe;belki;-;-;-
me;beni, bana;-;-;-
meal;yemek (öğün);-;-;-
mean;anlamına gelmek;mean;meant;meant
meaning;anlam;-;-;-
means;araç, yol;-;-;-
meanwhile;bu arada;-;-;-
measure;ölçmek, önlem;measure;measured;measured
measurement;ölçüm;-;-;-
meat;et;-;-;-
media;medya;-;-;-
medical;tıbbi;-;-;-
medicine;ilaç, tıp;-;-;-
medium;orta, ortam;-;-;-
meet;buluşmak, tanışmak;meet;met;met
meeting;toplantı;-;-;-
melt;erimek;melt;melted;melted
member;üye;-;-;-
memory;hafıza, anı;-;-;-
mental;zihinsel;-;-;-
mention;bahsetmek;mention;mentioned;mentioned
menu;menü;-;-;-
mess;dağınıklık;mess;messed;messed
message;mesaj;-;-;-
metal;metal;-;-;-
method;yöntem;-;-;-
metre;metre;-;-;-
middle;orta;-;-;-
midnight;gece yarısı;-;-;-
might;-ebilir (olasılık);-;-;-
mild;hafif, ılıman;-;-;-
mile;mil;-;-;-
military;askeri;-;-;-
milk;süt;-;-;-
million;milyon;-;-;-
mind;zihin, aldırmak;mind;minded;minded
mine (belongs to me);benimki;-;-;-
mine (hole in ground);maden;-;-;-
mineral;mineral;-;-;-
minimum;minimum;-;-;-
minister;bakan;-;-;-
minor;küçük, önemsiz;-;-;-
minority;azınlık;-;-;-
minute1;dakika;-;-;-
mirror;ayna;-;-;-
miss;özlemek, kaçırmak;miss;missed;missed
missing;kayıp, eksik;-;-;-
mission;görev;-;-;-
mistake;hata;mistake;mistook;mistaken
mix;karıştırmak;mix;mixed;mixed
mixed;karışık;-;-;-
mixture;karışım;-;-;-
mobile;mobil, taşınabilir;-;-;-
